commune_ID,out_renacom,out_matched,out_match_type
20301,bouloussoua,boulousoua,RENALOC
20301,kangue bao,kanguã? bao,bureau
20301,kangue bao,kangue bawo,RENALOC
20301,madou kakouri,madou gakouri peulh,RENALOC
20301,ramadi,rammadi,RENALOC
20301,soumbolwa djadji,soumbalwa djadji,RENALOC
20301,kilboua,kilboua cp,RENALOC
20301,karamkawa,karam kawa,RENALOC
20301,dinkari,dinkari gp,RENALOC
20301,dinkari,dinkari gp,RENALOC
20301,dinkari,dinkari gp,RENALOC
20301,kournawa,kournawa cp,RENALOC
20301,kournawa,kournawa i,RENALOC
20301,goudoumaria,goudoumaria vii,bureau
20301,goudoumaria,goudoumaria iii,bureau
20301,goudoumaria,goudoumaria ii,bureau
20301,goudoumaria,goudoumaria iv,bureau
20301,goudoumaria,goudoumaria vi,bureau
20301,goudoumaria,goudoumaria vii,bureau
20301,goudoumaria,goudoumaria iii,bureau
20301,goudoumaria,goudoumaria ii,bureau
20301,goudoumaria,goudoumaria iv,bureau
20301,goudoumaria,goudoumaria vi,bureau
20301,dogoram,dogaram,RENALOC
20301,dogoram,dogaram ii,RENALOC
20301,boulbouldji,boulboulge,RENALOC
20301,boukardi koura,bourardi koura,RENALOC
20301,bolomiram,bolamiram,RENALOC
20301,bouloussou,boulousoua,RENALOC
20301,djougounoumaram,djougoumaram,RENALOC
20301,fongorimaram,fongarimaram,bureau
20301,boulbouldjia,boulboulge,RENALOC
20301,kana ido,kano ido,bureau
20301,kourmi tchouloum,kourmichouloum,RENALOC
